Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Chandigarh, India",04-01-2019,30.6,19.3,24.3,28.8,0,0,0,9,314.43,3.9,5.7,46.59,Clear
"Chandigarh, India",04-02-2019,32.3,18,25,31.6,0,0,0,7.2,257.6,3.9,8.6,49.05,Clear
"Chandigarh, India",04-03-2019,32.9,18.5,25.6,31.3,0,0,0,8.9,314.5,3.7,31.4,50.6,Partially cloudy
"Chandigarh, India",04-04-2019,34.1,19.2,27.2,33.1,0,0,0,5.3,297.5,3.9,23.2,49.99,Clear
"Chandigarh, India",04-05-2019,34.1,20.7,27.6,34.6,0,0,0,5.5,257.33,3.9,37.4,55.89,Partially cloudy
"Chandigarh, India",04-06-2019,34.9,22.6,28.9,36.5,0,0,0,6.8,221.43,3.9,36,53.83,Partially cloudy
"Chandigarh, India",04-07-2019,33.4,21.4,28.1,34.7,0,0,0,9,189.71,3.9,49.5,49.24,Partially cloudy
"Chandigarh, India",04-08-2019,30,19.5,24.6,30.2,8.89,0,0,5.4,198.8,3.9,45.8,68.6,"Rain, Partially cloudy"
"Chandigarh, India",04-09-2019,32,20,26,32.1,11,0,0,5.4,236.4,3.8,10.7,59.75,Rain
"Chandigarh, India",04-10-2019,36.1,23,29.1,35.4,0,0,0,9.1,326.75,3.9,30.8,50.42,Partially cloudy
"Chandigarh, India",04-11-2019,35.9,21.2,28.6,34.3,0,0,0,7.2,284,3.9,31.5,48.26,Partially cloudy
"Chandigarh, India",04-12-2019,32.8,22.8,27.4,32.4,0,0,0,7.8,323.25,3.9,32.3,50.9,Partially cloudy
"Chandigarh, India",04/13/2019,33.1,20.5,27.5,33.1,0,0,0,27.7,309.71,5.7,54.2,44.95,Partially cloudy
"Chandigarh, India",04/14/2019,36.1,19.1,28.3,34,0,0,0,22.3,325.44,5.6,58.3,44.39,Partially cloudy
"Chandigarh, India",04/15/2019,36.9,22.2,29.2,35.8,0,0,0,22.1,322.38,3.7,36.8,44.09,Partially cloudy
"Chandigarh, India",04/16/2019,30.8,22.1,25.5,30.1,7.79,0,0,20.2,165.75,3.4,79.9,51.66,"Rain, Overcast"
"Chandigarh, India",04/17/2019,23.8,16.8,20.3,30.1,29.53,0,0,7.8,137.13,3.3,95.7,76.95,"Rain, Overcast"
"Chandigarh, India",04/18/2019,29,18.1,23.3,28.1,28.69,0,0,14.8,175.65,6.4,62.9,58.36,"Rain, Partially cloudy"
"Chandigarh, India",04/19/2019,32.1,17.1,25,30.8,22,0,0,18.4,293.75,6.7,28.4,52.62,"Rain, Partially cloudy"
"Chandigarh, India",04/20/2019,32.1,19.1,26.4,31.3,0,0,0,13,217.94,6.3,27.1,53.35,Partially cloudy
"Chandigarh, India",04/21/2019,34.6,20,27.6,33.8,0,0,0,3.5,296,3.9,5.6,51,Clear
"Chandigarh, India",04/22/2019,35.1,21.7,30,34.6,0,0,0,20.5,281.19,6,17.6,41.95,Clear
"Chandigarh, India",04/23/2019,37.1,23.1,29.7,38.7,0,0,0,20.5,156.58,6,7.5,46.18,Clear
"Chandigarh, India",04/24/2019,38.1,25.1,31.2,39.3,0,0,0,37.1,124.45,5.2,29.9,41.33,Partially cloudy
"Chandigarh, India",04/25/2019,37.9,24.1,30.8,38.1,4,0,0,16.6,168.14,5.9,52,40.94,"Rain, Partially cloudy"
"Chandigarh, India",04/26/2019,38.1,22.2,31.5,36.3,0,0,0,25.9,262.31,5.6,26.2,35.76,Partially cloudy
"Chandigarh, India",04/27/2019,38.1,24.9,31.5,34.9,0,0,0,27.7,316.1,5.9,10.5,26.36,Clear
"Chandigarh, India",04/28/2019,39.1,24.8,31.8,35.8,0,0,0,29.5,332.74,5.8,4,21.48,Clear
