Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Chandigarh, India",01-01-2019,19,5.2,11.6,26.9,0,0,0,3.4,205,1.8,38.4,76.02,Partially cloudy
"Chandigarh, India",01-02-2019,20.7,10,13.7,26.9,0.78,0,0,3.9,157.8,1.8,31.8,74.84,"Rain, Partially cloudy"
"Chandigarh, India",01-03-2019,18.2,7.3,12.4,26.9,0,0,0,3.6,311.75,2.2,15.2,74.29,Clear
"Chandigarh, India",01-04-2019,18.1,7.9,12.6,26.9,0,0,0,3.6,267.29,2.2,52.4,72.12,Partially cloudy
"Chandigarh, India",01-05-2019,18.8,10.2,14.6,26.9,0,0,0,5.5,125.86,2.4,81.1,66.2,Overcast
"Chandigarh, India",01-06-2019,16.9,9.3,12.6,26.9,2.37,0,0,3.7,169,2.2,65.3,77.31,"Rain, Partially cloudy"
"Chandigarh, India",01-07-2019,18.8,6.4,12.1,26.9,0,0,0,3.6,318.29,3.1,8.5,74.6,Clear
"Chandigarh, India",01-08-2019,17.9,8.8,11.8,26.9,0,0,0,9.4,291.09,3,52.6,82.35,Partially cloudy
"Chandigarh, India",01-09-2019,19,8.1,12.2,26.9,0,0,0,8.7,306.38,3,13.3,71.81,Clear
"Chandigarh, India",01-10-2019,19.1,7.3,11.9,26.9,0,0,0,8.6,280.67,2.6,42,74.19,Partially cloudy
"Chandigarh, India",01-11-2019,20.3,9.1,13.8,26.9,0,0,0,7,167,2.5,16.4,72.74,Clear
"Chandigarh, India",01-12-2019,21.8,8.1,14.8,26.9,0,0,0,3.4,264.83,2.6,53.5,66.72,Partially cloudy
"Chandigarh, India",01/13/2019,19.8,10,14.2,26.9,4.94,0,0,5.4,274,2.9,24.9,70.72,Rain
"Chandigarh, India",01/14/2019,19.6,7,11.8,26.9,0,0,0,9.1,319.63,3.9,8.5,63.22,Clear
"Chandigarh, India",01/15/2019,16.9,6.3,10.6,26.9,0,0,0,7.3,318.17,3.1,37.7,68.91,Partially cloudy
"Chandigarh, India",01/16/2019,18.2,6.6,12.3,26.9,0,0,0,7.3,202.33,2,66.8,75.8,Partially cloudy
"Chandigarh, India",01/17/2019,19.9,7.7,12.8,26.9,0,0,0,4.9,328.75,2.1,14.3,74.4,Clear
"Chandigarh, India",01/18/2019,18.3,7.2,12.9,26.9,0,0,0,5.3,310.43,2.7,28.8,70,Partially cloudy
"Chandigarh, India",01/19/2019,21.7,9.7,14.4,26.9,0,0,0,3.4,317.25,3.2,53.8,66.56,Partially cloudy
"Chandigarh, India",01/20/2019,20.8,11.1,14.8,26.9,0,0,0,1.7,196,2.4,73.9,73.98,Partially cloudy
"Chandigarh, India",01/21/2019,18.7,11.4,15.2,26.9,5.22,0,0,11,134.29,2.6,86.6,72.61,"Rain, Overcast"
"Chandigarh, India",01/22/2019,13.4,9.4,12,26.9,22,0,0,7.8,138.63,2.7,82.7,87.15,"Rain, Overcast"
"Chandigarh, India",01/23/2019,17.2,8.1,12.2,26.9,32.65,0,0,5,236.8,3.2,43.5,77.37,"Rain, Partially cloudy"
"Chandigarh, India",01/24/2019,18.4,7.8,12.5,26.9,0.5,0,0,8.8,325.67,2.6,27.5,72.97,"Rain, Partially cloudy"
"Chandigarh, India",01/25/2019,17.6,9.4,12.6,26.9,0.73,0,0,5,231.17,3.1,55.8,72.74,"Rain, Partially cloudy"
"Chandigarh, India",01/26/2019,17.4,6.5,11.2,26.9,0,0,0,7.1,329.83,3.2,24.1,73.22,Clear
"Chandigarh, India",01/27/2019,17.1,6.8,13,26.9,1,0,0,14.8,312.43,4.2,56.1,65.31,"Rain, Partially cloudy"
"Chandigarh, India",01/28/2019,19.1,5.1,12,26.9,0,0,0,15.2,315.33,4.5,8.1,70.57,Clear
"Chandigarh, India",01/29/2019,20.1,5.1,12.7,26.9,0,0,0,14.8,276,4.1,30.6,66.33,Partially cloudy
"Chandigarh, India",01/30/2019,16.1,6.1,12.2,26.9,0.1,0,0,13,244.94,3.1,72.5,77.9,"Rain, Partially cloudy"
"Chandigarh, India",01/31/2019,20.1,8.1,13.9,26.9,1,0,0,22.3,154.71,3.3,84.6,75.32,"Rain, Overcast"
"Chandigarh, India",02-01-2019,20.1,11.1,14.7,26.9,5.78,0,0,14.8,194.56,3.9,69.9,71.5,"Rain, Partially cloudy"
"Chandigarh, India",02-02-2019,20.9,7.1,12.1,26.9,0,0,0,8.8,276.18,2.2,16.4,87.74,Clear
"Chandigarh, India",02-03-2019,19.1,8.1,12,26.9,0,0,0,9.4,233.88,1.4,0.6,92.47,Clear
"Chandigarh, India",02-04-2019,19.1,5.1,12.4,26.9,0,0,0,9.4,219.8,1.3,37.2,95.1,Partially cloudy
"Chandigarh, India",02-05-2019,23.1,10.1,16.5,26.9,0,0,0,9.4,223.78,2.3,75,75.71,Partially cloudy
"Chandigarh, India",02-06-2019,23.1,9.1,16.7,26.9,0,0,0,24.1,135.89,3.4,62,66.22,Partially cloudy
"Chandigarh, India",02-07-2019,17.1,11.6,15.3,26.9,38.78,0,0,33.5,153.4,3.3,62.4,85.38,"Rain, Partially cloudy"
"Chandigarh, India",02-08-2019,18.1,7.1,12.2,26.9,43.69,0,0,18.4,273,3.8,29.8,84.05,"Rain, Partially cloudy"
"Chandigarh, India",02-09-2019,21.1,8.1,14.3,26.9,0,0,0,16.6,319.33,4.6,5.8,71.85,Clear
"Chandigarh, India",02-10-2019,18.1,8.2,14.3,26.9,0,0,0,16.6,281.33,3.6,60.5,75.13,Partially cloudy
"Chandigarh, India",02-11-2019,22,9.1,15.6,26.9,0,0,0,13,290.11,3.2,61.4,79.23,Partially cloudy
"Chandigarh, India",02-12-2019,21.9,11.1,16.8,26.9,0,0,0,11.2,288.67,3.4,81.4,79.17,Overcast
"Chandigarh, India",02/13/2019,23.1,12.2,17.7,26.9,0,0,0,10,220.29,2.8,63.3,73.09,Partially cloudy
"Chandigarh, India",02/14/2019,21.1,14.5,17.6,26.9,9.75,0,0,27.7,148.53,3.9,67,84.21,"Rain, Partially cloudy"
"Chandigarh, India",02/15/2019,21.1,14.1,16.7,26.9,17.66,0,0,8.7,144.25,3.7,80.6,94.27,"Rain, Overcast"
"Chandigarh, India",02/16/2019,22.1,13.1,16.8,26.9,3.52,0,0,11.8,292.15,3.6,57.4,87.73,"Rain, Partially cloudy"
"Chandigarh, India",02/17/2019,21.1,10.1,15.2,26.9,0,0,0,22.1,313.48,3.9,60.2,85.5,Partially cloudy
"Chandigarh, India",02/18/2019,19,11.8,14.7,26.9,12.21,0,0,14.8,166.59,3.6,56.6,94.17,"Rain, Partially cloudy"
"Chandigarh, India",02/19/2019,22.1,13,17,26.9,5.02,0,0,27.7,150.47,5,82.3,84.92,"Rain, Overcast"
"Chandigarh, India",02/20/2019,22.1,13.1,17.3,26.9,1.12,0,0,25.1,143.88,4.6,80.9,76.8,"Rain, Overcast"
"Chandigarh, India",02/21/2019,25.1,15,19,26.9,13.1,0,0,20.5,148.39,5.6,73,82.73,"Rain, Partially cloudy"
"Chandigarh, India",02/22/2019,20.1,13,16.7,26.9,16.2,0,0,22.3,314,3.7,45.6,98.54,"Rain, Partially cloudy"
"Chandigarh, India",02/23/2019,21.1,10.9,15.4,26.9,0,0,0,22.3,319.45,5.1,44.2,83.47,Partially cloudy
"Chandigarh, India",02/24/2019,22.1,10.1,14.5,26.9,0,0,0,18.7,313.38,4.3,52.3,84.1,Partially cloudy
"Chandigarh, India",02/25/2019,21.7,9.4,15,26.9,0,0,0,5.3,143.67,3.2,14,70.24,Clear
"Chandigarh, India",02/26/2019,20.9,11.1,15.4,26.9,3.3,0,0,16.9,200.38,3.1,68.1,64.53,"Rain, Partially cloudy"
"Chandigarh, India",02/27/2019,16.3,9.1,12.3,26.9,11.89,0,0,7.2,249.13,3.6,67.4,74.48,"Rain, Partially cloudy"
"Chandigarh, India",02/28/2019,18.8,6.5,12.5,26.9,0,0,0,8.8,325.83,3.5,8,73.9,Clear
"Chandigarh, India",03-01-2019,21.6,8.2,14.9,26.9,0,0,0,7.5,318.75,3.5,28.8,69.95,Partially cloudy
"Chandigarh, India",03-02-2019,18.5,13.1,15.1,26.9,9.78,0,0,7.5,232.57,3.1,94.9,75.91,"Rain, Overcast"
"Chandigarh, India",03-03-2019,22.6,12.1,16.8,26.9,18.52,0,0,5.1,201.86,3.4,55.1,79.26,"Rain, Partially cloudy"
"Chandigarh, India",03-04-2019,21.7,12.5,16.6,26.9,8,0,0,5.2,311.17,3.4,55.3,78.99,"Rain, Partially cloudy"
"Chandigarh, India",03-05-2019,21.8,11.2,16.4,26.9,5.8,0,0,8.8,325.71,3.9,15.8,73.12,Rain
"Chandigarh, India",03-06-2019,22.6,11.7,16.7,26.9,0,0,0,9.1,311.13,3.9,4.4,72.77,Clear
"Chandigarh, India",03-07-2019,23.9,11.5,17.5,26.9,0,0,0,7.3,320,3.5,13.9,68.41,Clear
"Chandigarh, India",03-08-2019,22,12.3,16.5,26.9,0.8,0,0,5.2,291.5,3.7,62.4,69.94,"Rain, Partially cloudy"
"Chandigarh, India",03-09-2019,23.8,11,17.3,26.9,0.6,0,0,7.3,318.13,3.9,7.3,69.38,Rain
"Chandigarh, India",03-10-2019,25,12.2,18.3,26.9,0,0,0,3.6,294.43,3.9,1.3,67.2,Clear
"Chandigarh, India",03-11-2019,17.6,14.4,16.1,26.9,12.01,0,0,6.9,112,3.9,66.8,77.73,"Rain, Partially cloudy"
