Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Chandigarh, India",10-01-2019,31.1,23.9,27.1,36.7,81.16,0,0,11.2,154.09,5.8,59.1,82.57,"Rain, Partially cloudy"
"Chandigarh, India",10-02-2019,32.1,22.9,27.3,36.9,7,0,0,10.2,245.42,5.6,46.7,78.56,"Rain, Partially cloudy"
"Chandigarh, India",10-03-2019,32.1,22.1,27.2,36.9,13,0,0,22.3,272.6,5.7,64.9,76.58,"Rain, Partially cloudy"
"Chandigarh, India",10-04-2019,29.1,21,24.9,32.9,2,0,0,20.7,298.67,5.7,70.4,82.34,"Rain, Partially cloudy"
"Chandigarh, India",10-05-2019,31.1,20,25.6,33.8,0,0,0,14.8,321.05,5.5,57.9,76.62,Partially cloudy
"Chandigarh, India",10-06-2019,31.1,20.1,25.9,34.3,0,0,0,14.6,312.23,5.6,69.4,78.97,Partially cloudy
"Chandigarh, India",10-07-2019,32.1,22.7,26.2,35.9,3,0,0,22.3,301.68,5.3,60,78.8,"Rain, Partially cloudy"
"Chandigarh, India",10-08-2019,31.1,19.1,25.3,32.6,1,0,0,9.4,274.46,5.7,14.1,76.93,Rain
"Chandigarh, India",10-09-2019,31.1,21,25.8,33.1,0.8,0,0,11.2,213.5,5.2,21.1,74.68,Rain
"Chandigarh, India",10-10-2019,32.1,20,25.6,33.3,0,0,0,7.6,280,5.4,10.6,71.28,Clear
"Chandigarh, India",10-11-2019,32.1,20.1,25.8,34.3,0,0,0,10.2,217.75,5.5,5.3,72.31,Clear
"Chandigarh, India",10-12-2019,32.1,20.1,25.9,33.6,0,0,0,13,232,5.3,10.8,74.61,Clear
"Chandigarh, India",10/13/2019,32.1,19.1,26.4,33.8,0,0,0,14.8,303.8,5.6,7.9,72.12,Clear
"Chandigarh, India",10/14/2019,32.1,21.1,26,35,0,0,0,11.2,207.67,4.5,15.1,77.03,Clear
"Chandigarh, India",10/15/2019,31.1,21.2,25.6,33,0,0,0,4.8,192,3.1,8.8,71.8,Clear
