Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Chennai, TN, India",04-01-2019,37,27.4,30.9,46.3,0,0,0,24.1,185.67,6.5,16.4,71.15,Clear
"Chennai, TN, India",04-02-2019,35,27.4,30.4,41.9,0,0,0,22.3,167.71,6.6,32.9,74.01,Partially cloudy
"Chennai, TN, India",04-03-2019,35,27,30.4,41.9,0,0,0,27.7,174.08,6.9,24.5,71.93,Clear
"Chennai, TN, India",04-04-2019,36,26,30.4,41.9,0,0,0,22.3,169.21,6.3,25.1,70.8,Partially cloudy
"Chennai, TN, India",04-05-2019,35,27,30.6,43.3,0,0,0,24.1,188.63,6.2,30.2,75.05,Partially cloudy
"Chennai, TN, India",04-06-2019,38,26.9,31.1,43.4,0,0,0,18.4,183.5,6.3,30.8,69.07,Partially cloudy
"Chennai, TN, India",04-07-2019,37,26.9,31.1,42.1,0,0,0,22.3,172.87,6.4,24.5,68.36,Clear
"Chennai, TN, India",04-08-2019,37,27.9,31.1,46,0,0,0,25.9,179.54,6.2,35.8,72.94,Partially cloudy
"Chennai, TN, India",04-09-2019,37,28.8,31.4,44.7,0,0,0,22.3,174.67,6.2,43.6,73.9,Partially cloudy
"Chennai, TN, India",04-10-2019,35,28.4,31.3,43.6,0,0,0,20.5,169.29,6.6,31.7,75.13,Partially cloudy
"Chennai, TN, India",04-11-2019,38,28,31.1,43.4,0,0,0,24.1,192.79,6.7,33.4,74.63,Partially cloudy
"Chennai, TN, India",04-12-2019,37,28,31.1,44.5,0,0,0,22.3,182.71,6.3,34.7,75.7,Partially cloudy
"Chennai, TN, India",04/13/2019,37,27.8,31.3,44.5,0,0,0,25.9,159.29,6.7,18.7,71.06,Clear
"Chennai, TN, India",04/14/2019,37,28,30.8,46,0,0,0,22.3,177.25,6.8,25.8,73.58,Partially cloudy
"Chennai, TN, India",04/15/2019,37,27,30.7,44.5,0,0,0,22.3,163.54,6.6,21.9,71.88,Clear
"Chennai, TN, India",04/16/2019,36,27,30.8,44.7,0,0,0,27.7,170.63,6.1,24.1,72.91,Clear
"Chennai, TN, India",04/17/2019,38,26.9,31.7,42.3,0,0,0,25.9,215.25,6.2,27.2,67.53,Partially cloudy
"Chennai, TN, India",04/18/2019,36,27.2,31.2,46.7,0,0,0,24.1,199.96,6.5,42.7,78.65,Partially cloudy
"Chennai, TN, India",04/19/2019,36,26.9,31.5,46.3,0,0,0,24.1,220.58,6.7,41.7,74.65,Partially cloudy
"Chennai, TN, India",04/20/2019,36,27,31.6,44.7,0,0,0,27.7,193.71,6.7,40,72.35,Partially cloudy
"Chennai, TN, India",04/21/2019,38,27.6,32,47.3,0,0,0,24.1,207.42,6.8,42.8,69.87,Partially cloudy
"Chennai, TN, India",04/22/2019,35,27.1,31.2,44.9,0,0,0,24.1,154.54,6.3,44.4,73.57,Partially cloudy
"Chennai, TN, India",04/23/2019,35,28,31,44.9,0,0,0,22.3,108.17,5.9,49.7,70.67,Partially cloudy
"Chennai, TN, India",04/24/2019,36,28.8,31.5,42,0,0,0,23.6,126.42,6.4,37.8,67.6,Partially cloudy
"Chennai, TN, India",04/25/2019,35,28,31.3,41.9,0,0,0,23.5,185.54,6.4,31.3,69.72,Partially cloudy
"Chennai, TN, India",04/26/2019,37,28,31.7,46,0,0,0,20.6,191.67,6.4,26.6,72.48,Partially cloudy
"Chennai, TN, India",04/27/2019,36,28.8,31.7,44.7,0,0,0,24.1,200.46,6.3,39.4,72.03,Partially cloudy
"Chennai, TN, India",04/28/2019,36,29,31.5,44.7,0,0,0,28.7,179.54,6.8,55.5,73.57,Partially cloudy
"Chennai, TN, India",04/29/2019,36,28.4,31.4,48.1,0,0,0,28.2,167.42,6.6,58.1,77.86,Partially cloudy
"Chennai, TN, India",04/30/2019,40,25.5,31.8,46.7,0,0,0,29.1,193.63,5.7,56.1,74.8,Partially cloudy
"Chennai, TN, India",05-01-2019,37,27.1,31.9,42.3,0,0,0,25.5,214.54,5.1,63.6,68.41,Partially cloudy
"Chennai, TN, India",05-02-2019,42,29,33.3,47.3,0,0,0,35,214.04,6.1,69,58.93,Partially cloudy
"Chennai, TN, India",05-03-2019,42,29.3,33.7,48.7,0,0,0,29.4,217.67,6.6,43.5,60.6,Partially cloudy
"Chennai, TN, India",05-04-2019,40,29.7,32.8,47.2,0,0,0,38.8,206,6.6,36.4,67.34,Partially cloudy
"Chennai, TN, India",05-05-2019,38,28.8,32.3,50.8,0,0,0,31.1,195.54,6.5,34.1,73.62,Partially cloudy
"Chennai, TN, India",05-06-2019,41,28.5,33.4,54.8,0,0,0,33.9,205.92,6.4,40.5,69.53,Partially cloudy
"Chennai, TN, India",05-07-2019,41,28.1,33.2,51.8,0,0,0,24.1,203.57,6.1,49.4,66.58,Partially cloudy
"Chennai, TN, India",05-08-2019,40,30.2,33.5,47.1,0,0,0,26.1,217.75,5.8,64.9,53.87,Partially cloudy
"Chennai, TN, India",05-09-2019,42,28.6,33.4,49.7,0,0,0,27.2,200.92,6.9,27.5,57.94,Partially cloudy
"Chennai, TN, India",05-10-2019,41,29,33.4,48.1,0,0,0,24,205.71,6.5,26.9,61.73,Partially cloudy
"Chennai, TN, India",05-11-2019,39,29.3,32.6,50.8,0,0,0,40.1,196.96,6.9,20.5,71.47,Clear
"Chennai, TN, India",05-12-2019,37,29.3,31.9,49.5,0,0,0,26,191.92,6.7,28.6,75.21,Partially cloudy
"Chennai, TN, India",05/13/2019,39,29,32,47.3,0,0,0,105.5,216.42,6.8,35.3,74.88,Partially cloudy
"Chennai, TN, India",05/14/2019,37,28.8,32.2,49.5,0,0,0,22.3,196.21,6.4,28,75.84,Partially cloudy
"Chennai, TN, India",05/15/2019,39,28.5,32.1,49.5,0,0,0,22.3,201.92,6.7,33.7,75.45,Partially cloudy
"Chennai, TN, India",05/16/2019,39,26.4,31.6,47.2,0,0,0,24.1,201.25,6.7,39.2,75.5,Partially cloudy
"Chennai, TN, India",05/17/2019,38,29.4,32,50.2,0,0,0,28.9,198.88,6.6,36.7,76.76,Partially cloudy
"Chennai, TN, India",05/18/2019,38,29.6,32,49.5,0,0,0,40.3,196.96,6.5,37.9,77.21,Partially cloudy
"Chennai, TN, India",05/19/2019,39,29.7,32.3,47.6,0,0,0,47,201.04,6.7,29.3,73.06,Partially cloudy
"Chennai, TN, India",05/20/2019,38,29.3,32.6,47.9,0,0,0,22.3,193.21,6.5,31.4,69.33,Partially cloudy
"Chennai, TN, India",05/21/2019,38,29,32.4,49,0,0,0,24.1,193.08,7,23.1,68.36,Clear
"Chennai, TN, India",05/22/2019,39,29.4,32.2,44.6,0,0,0,27.7,197.96,6.6,27.1,68.72,Partially cloudy
"Chennai, TN, India",05/23/2019,38,29.6,32.4,45.8,0,0,0,24.1,203.21,7.2,40.3,70.99,Partially cloudy
"Chennai, TN, India",05/24/2019,38,26.8,31.8,50.8,0,0,0,25.9,216.67,6.5,32.2,75.9,Partially cloudy
"Chennai, TN, India",05/25/2019,40,27.2,32.4,50.8,0,0,0,22.3,220.67,6.6,22.7,72.51,Clear
"Chennai, TN, India",05/26/2019,41,27.9,32.8,55.6,0,0,0,27.7,216.46,6.9,18.9,71.65,Clear
"Chennai, TN, India",05/27/2019,38,27.5,32.1,49.5,0,0,0,22.3,209.04,6.6,23.8,74.52,Clear
"Chennai, TN, India",05/28/2019,41,27.7,32.6,57,0,0,0,22.3,215.08,6.4,30.5,75.41,Partially cloudy
"Chennai, TN, India",05/29/2019,40,26.3,31.9,48.5,0,0,0,22.3,211.71,6.5,29.8,74.9,Partially cloudy
"Chennai, TN, India",05/30/2019,37,27.4,31.8,49.5,0,0,0,33.4,191.13,6.1,39.2,79.44,Partially cloudy
"Chennai, TN, India",05/31/2019,40,28,32.4,50,0,0,0,39.9,211.54,6.7,29.7,70.93,Partially cloudy
"Chennai, TN, India",06-01-2019,41,30.2,33.2,47.3,0,0,0,37,217.75,6.5,35.5,66.36,Partially cloudy
"Chennai, TN, India",06-02-2019,41,29.8,33.5,51.7,0,0,0,43.6,220,6.6,33.5,64.68,Partially cloudy
"Chennai, TN, India",06-03-2019,38,30,32.7,45.8,0,0,0,24.1,196.48,6.5,38.5,61.62,Partially cloudy
"Chennai, TN, India",06-04-2019,39,30.4,33,50.3,0,0,0,20.5,196.21,6.6,41.2,69.23,Partially cloudy
"Chennai, TN, India",06-05-2019,37,30,32.7,47.6,0,0,0,26.2,201.38,6.6,29.7,68.32,Partially cloudy
"Chennai, TN, India",06-06-2019,38,29.7,32.3,47.3,0,0,0,42.3,181.57,6.8,29.5,70.34,Partially cloudy
"Chennai, TN, India",06-07-2019,38,30,32.7,51.5,0,0,0,27.7,201.33,6.6,34.4,72.74,Partially cloudy
"Chennai, TN, India",06-08-2019,41,27.1,32.9,47.2,0,0,0,24.1,232.71,6.7,33.4,66.24,Partially cloudy
"Chennai, TN, India",06-09-2019,41,28.5,33.2,50,0,0,0,25.9,223.46,6.7,34.1,65.69,Partially cloudy
"Chennai, TN, India",06-10-2019,40,25.7,33.1,45.8,0,0,0,26.2,227.13,6.8,51.5,58.42,Partially cloudy
"Chennai, TN, India",06-11-2019,40,25.8,33.1,47.1,0,0,0,32.1,226.71,6.7,47.3,58.09,Partially cloudy
"Chennai, TN, India",06-12-2019,41,25.4,32.8,45.9,0,0,0,36.4,238.7,7.3,35.9,61.05,Partially cloudy
"Chennai, TN, India",06/13/2019,39,26.8,32.3,44.6,0,0,0,45.2,237.96,6.9,41.1,60.12,Partially cloudy
"Chennai, TN, India",06/14/2019,41,29,33.2,45.1,0,0,0,48.5,233.87,6.8,35.5,59.63,Partially cloudy
"Chennai, TN, India",06/15/2019,41,30.1,33.9,45.1,0,0,0,24.3,217.83,6.4,29.2,57.5,Partially cloudy
"Chennai, TN, India",06/16/2019,41,29.5,34.2,48.1,0,0,0,25.9,213.83,6.8,40.4,57.42,Partially cloudy
"Chennai, TN, India",06/17/2019,41,29.5,34,44.2,0,0,0,22.3,209.54,6.6,48,55.96,Partially cloudy
"Chennai, TN, India",06/18/2019,42,29,33.8,45.5,0,0,0,27.7,193.3,6.8,48.7,60.31,Partially cloudy
"Chennai, TN, India",06/19/2019,41,30,33.5,45.1,0,0,0,25.9,200.83,6.2,44.7,57.78,Partially cloudy
"Chennai, TN, India",06/20/2019,40,26.7,31.6,44.8,29,0,0,25.3,216.71,6.2,56.3,68.57,"Rain, Partially cloudy"
"Chennai, TN, India",06/21/2019,37,28,31.2,42.4,0,0,0,44,218.45,6.1,49.7,68.09,Partially cloudy
"Chennai, TN, India",06/22/2019,40,27,31.6,44.8,11,0,0,25.9,218.75,6.5,53.8,68.33,"Rain, Partially cloudy"
"Chennai, TN, India",06/23/2019,36,27,31.1,44.7,12,0,0,24.1,154.83,6,62.8,71.14,"Rain, Partially cloudy"
"Chennai, TN, India",06/24/2019,37,26.6,30.6,43.2,0,0,0,24.1,232.5,5.8,58.2,75.16,Partially cloudy
"Chennai, TN, India",06/25/2019,36,27,30.5,42.3,5.6,0,0,32.5,232.13,5.9,68.9,73.77,"Rain, Partially cloudy"
"Chennai, TN, India",06/26/2019,37,25,30.1,43.3,36.26,0,0,29.9,226.96,5.7,74.6,74.21,"Rain, Partially cloudy"
"Chennai, TN, India",06/27/2019,38,27,30.9,44.5,0,0,0,35.9,195.58,5.7,68.9,73.7,Partially cloudy
"Chennai, TN, India",06/28/2019,40,28.9,33.3,43.9,4.4,0,0,29.5,230.95,6.3,62.4,58.56,"Rain, Partially cloudy"
"Chennai, TN, India",06/29/2019,40,30,33.6,43,0,0,0,18.4,256.67,6.2,51.5,54.67,Partially cloudy
"Chennai, TN, India",06/30/2019,38,29.3,33.1,42.3,0,0,0,22.3,236.67,6.6,57.4,53.9,Partially cloudy
