Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Chennai, TN, India",01-01-2019,30,20,24.4,32.4,0,0,0,22.3,116.96,5.5,24.5,67.17,Clear
"Chennai, TN, India",01-02-2019,29,20,25.5,30.3,0,0,0,22.3,115.48,5.1,38.5,67,Partially cloudy
"Chennai, TN, India",01-03-2019,30,20.8,24.9,31.9,0,0,0,18.6,104.17,4.5,35.1,72.09,Partially cloudy
"Chennai, TN, India",01-04-2019,30,21,25,30.8,0,0,0,22.3,98.21,4.5,27,72.57,Partially cloudy
"Chennai, TN, India",01-05-2019,29,21,25.1,30.3,0,0,0,18.4,79.3,4.6,41.3,71.93,Partially cloudy
"Chennai, TN, India",01-06-2019,30,21,24.9,30.8,0,0,0,14.8,123.46,4.5,39.5,71.09,Partially cloudy
"Chennai, TN, India",01-07-2019,30,22,25.1,31.9,0,0,0,30.8,72.95,4.8,35.5,75.03,Partially cloudy
"Chennai, TN, India",01-08-2019,30,21,25.4,30.7,0,0,0,29.1,98.54,4.4,21.2,72.46,Clear
"Chennai, TN, India",01-09-2019,30,19,25.4,30.4,0,0,0,27.7,90.3,4.5,27.5,70.82,Partially cloudy
"Chennai, TN, India",01-10-2019,30.5,21,26,31.6,0,0,0,18.9,91.29,4.6,29.8,70.56,Partially cloudy
"Chennai, TN, India",01-11-2019,29.7,21,25.8,30.8,0,0,0,24.4,117.17,4,27.2,71.19,Partially cloudy
"Chennai, TN, India",01-12-2019,29,21,25.5,30.3,0,0,0,22.3,74.46,5,30.7,69.13,Partially cloudy
"Chennai, TN, India",01/13/2019,29,21,25.3,30.8,0,0,0,18.4,87.13,5,40.3,70.04,Partially cloudy
"Chennai, TN, India",01/14/2019,30,21,25.1,30.8,0,0,0,18.1,71.5,4.4,29.2,69.21,Partially cloudy
"Chennai, TN, India",01/15/2019,29,20,24.5,30.8,0,0,0,22.3,140.6,3.9,30.6,75.75,Partially cloudy
"Chennai, TN, India",01/16/2019,30,21,25.1,31.9,0,0,0,20.5,108.08,4.1,28.2,76.69,Partially cloudy
"Chennai, TN, India",01/17/2019,29,21,25.2,31.4,0,0,0,22.3,108.71,3.4,27.8,78.82,Partially cloudy
"Chennai, TN, India",01/18/2019,29,22,25.4,30.3,0,0,0,22.3,37.54,4.1,32.1,71.34,Partially cloudy
"Chennai, TN, India",01/19/2019,29,21,25.1,29.8,0,0,0,22.3,101.21,4.6,32.5,71.7,Partially cloudy
"Chennai, TN, India",01/20/2019,29,20,24.7,30.8,0,0,0,18.4,90.68,4.8,35.6,74.87,Partially cloudy
"Chennai, TN, India",01/21/2019,29,21,24.7,30.3,0,0,0,18.4,104.91,4.4,42.2,73.18,Partially cloudy
"Chennai, TN, India",01/22/2019,29,21,25.1,31.4,0,0,0,18.4,126.21,4.9,37.6,75.13,Partially cloudy
"Chennai, TN, India",01/23/2019,30,21,25.3,33.3,0,0,0,22.3,109.25,4.7,31.2,79.01,Partially cloudy
"Chennai, TN, India",01/24/2019,31,22,26,34.1,0,0,0,20.5,88.48,4.9,29.9,76.39,Partially cloudy
"Chennai, TN, India",01/25/2019,31,23,26.9,35.5,0,0,0,22.3,114.17,5.2,42.1,79.92,Partially cloudy
"Chennai, TN, India",01/26/2019,31,25.5,27.7,35.1,0,0,0,22.3,91.08,5.7,44,76.16,Partially cloudy
"Chennai, TN, India",01/27/2019,30,24,26.9,32.6,0,0,0,24.1,78.13,6.5,48,74.69,Partially cloudy
"Chennai, TN, India",01/28/2019,29,25,26.9,31.4,0,0,0,22.3,45.63,6.7,53.5,71.07,Partially cloudy
"Chennai, TN, India",01/29/2019,30,23,26,32,0.2,0,0,20,145.41,5,43,75.02,"Rain, Partially cloudy"
"Chennai, TN, India",01/30/2019,29,23,25.9,31.4,0,0,0,22.3,123.46,4.6,37.2,72.84,Partially cloudy
"Chennai, TN, India",01/31/2019,30,22,26.2,31.9,0,0,0,25.9,35,4.9,43.3,69.48,Partially cloudy
"Chennai, TN, India",02-01-2019,30,22,25.9,31.3,0,0,0,18.5,83.54,5.3,38,69.51,Partially cloudy
"Chennai, TN, India",02-02-2019,31,22,26.2,31.4,0,0,0,24.1,112.48,5.4,34.6,70.56,Partially cloudy
"Chennai, TN, India",02-03-2019,31,23,26.8,33,0,0,0,24.4,84.54,5.6,35.5,72.75,Partially cloudy
"Chennai, TN, India",02-04-2019,30,24,27,34.1,0,0,0,23.9,72.09,5.2,45.9,75.62,Partially cloudy
"Chennai, TN, India",02-05-2019,31,23,26.8,33,0,0,0,18.4,54.65,5.5,32.7,73.77,Partially cloudy
"Chennai, TN, India",02-06-2019,32,23,26.7,34.1,0,0,0,22.3,57.21,5.5,29.1,72.87,Partially cloudy
"Chennai, TN, India",02-07-2019,31,23,27,34.6,0,0,0,18.4,139.79,5,31,75.94,Partially cloudy
"Chennai, TN, India",02-08-2019,32,24,27.9,37.9,0,0,0,18.4,138.58,5.3,34.4,77.4,Partially cloudy
"Chennai, TN, India",02-09-2019,32,25,28.3,37.9,0,0,0,20.5,131.04,5.5,49.4,77.57,Partially cloudy
"Chennai, TN, India",02-10-2019,31,26,28,36.5,0,0,0,22.3,74.29,5.8,42.4,78.78,Partially cloudy
"Chennai, TN, India",02-11-2019,30,26.7,27.9,34.1,0,0,0,22.3,50.58,5.3,57.3,75.47,Partially cloudy
"Chennai, TN, India",02-12-2019,31,24,27.5,33,0,0,0,22.3,34.67,5.5,39.4,72.79,Partially cloudy
"Chennai, TN, India",02/13/2019,31,24,27.3,33.7,0,0,0,25.1,68.58,5.7,40.5,69.85,Partially cloudy
"Chennai, TN, India",02/14/2019,32,24,27.1,35.8,0,0,0,18.4,64.54,5.5,35.5,75.81,Partially cloudy
"Chennai, TN, India",02/15/2019,32,24,27.9,35.8,0,0,0,18.4,81.58,6,23.8,72.5,Clear
"Chennai, TN, India",02/16/2019,33,25,28.5,37.9,0,0,0,22.3,161.57,5.6,33.2,75.32,Partially cloudy
"Chennai, TN, India",02/17/2019,34,25,28.7,39.4,0,0,0,24.1,153.75,5.8,37.5,76.48,Partially cloudy
"Chennai, TN, India",02/18/2019,33,26,29,42.1,0,0,0,24.1,135.25,6,41.6,80.8,Partially cloudy
"Chennai, TN, India",02/19/2019,32,27,29.2,39.2,0,0,0,18.4,108.75,5.9,40.5,77.9,Partially cloudy
"Chennai, TN, India",02/20/2019,32,25.4,28.7,36.8,0,0,0,19.6,91.33,6.5,40.3,71.72,Partially cloudy
"Chennai, TN, India",02/21/2019,32,24.2,27.7,35.8,0,0,0,16.6,103.65,6,34.2,73.67,Partially cloudy
"Chennai, TN, India",02/22/2019,34,22.9,27.7,34.1,0,0,0,16.6,74.42,5.7,28.2,65.6,Partially cloudy
"Chennai, TN, India",02/23/2019,35,21,27.8,34,0,0,0,14.8,140.05,5.3,20.2,60.25,Clear
"Chennai, TN, India",02/24/2019,34,22,27.5,36.5,0,0,0,18.4,146.36,5.8,23.6,71.93,Clear
"Chennai, TN, India",02/25/2019,33,23,27.7,36.1,0,0,0,22.3,176.29,5.8,20.8,72.49,Clear
"Chennai, TN, India",02/26/2019,34,23,28.1,38.3,0,0,0,18.4,165.22,5.8,33.5,74.83,Partially cloudy
"Chennai, TN, India",02/27/2019,34,26,28.9,40.6,0,0,0,24.1,151.46,6.2,40.5,75.79,Partially cloudy
"Chennai, TN, India",02/28/2019,33,26.1,29.1,39.3,3.73,0,0,25.9,148.54,5.8,46.8,78.09,"Rain, Partially cloudy"
"Chennai, TN, India",03-01-2019,32,27.4,29.3,39.2,0,0,0,24.1,118.71,5.7,54.2,76.84,Partially cloudy
"Chennai, TN, India",03-02-2019,32,25,29,34.9,0,0,0,20.5,70.78,6.5,37.9,67.93,Partially cloudy
"Chennai, TN, India",03-03-2019,33,26,29.1,38.1,0,0,0,20.5,127.04,5.9,38.4,70.99,Partially cloudy
"Chennai, TN, India",03-04-2019,34,25,29,39.4,0,0,0,27.7,155.42,6.1,33.4,72.34,Partially cloudy
"Chennai, TN, India",03-05-2019,37,26,29.5,43.2,0,0,0,27.7,176.33,6.3,21.4,75.6,Clear
"Chennai, TN, India",03-06-2019,36,26.8,30,43.2,0,0,0,23.2,169.58,6.4,25,74.08,Clear
