Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Chennai, TN, India",07-01-2019,37,27.6,32,43.2,0,0,0,25.9,240.3,6.3,58.1,59.02,Partially cloudy
"Chennai, TN, India",07-02-2019,38,27.9,32,42.3,0,0,0,36.5,236,6,67.3,62.86,Partially cloudy
"Chennai, TN, India",07-03-2019,38,29.1,32.2,44.7,0,0,0,34.2,216.33,6.8,49.6,64.33,Partially cloudy
"Chennai, TN, India",07-04-2019,40,29,32.7,43.9,0,0,0,35.6,225.13,6.7,43.3,62.79,Partially cloudy
"Chennai, TN, India",07-05-2019,37,29.3,32.3,42.1,0,0,0,27.1,226.33,6.7,55.1,60.25,Partially cloudy
"Chennai, TN, India",07-06-2019,37.1,27.9,32.5,42.6,0,0,0,38.3,223.38,6.5,68.4,58.13,Partially cloudy
"Chennai, TN, India",07-07-2019,39,29.3,32.7,41.9,0,0,0,48.5,214.54,6.3,44.4,56.5,Partially cloudy
"Chennai, TN, India",07-08-2019,39,29.4,32.9,43.2,0,0,0,49.1,229.5,6.7,40.7,55.38,Partially cloudy
"Chennai, TN, India",07-09-2019,39,28,32.5,43.6,7,0,0,50.9,221.33,6.1,50.5,60.86,"Rain, Partially cloudy"
"Chennai, TN, India",07-10-2019,37,27,30.8,41,4.71,0,0,25.9,219.25,6.5,65.8,68.96,"Rain, Partially cloudy"
"Chennai, TN, India",07-11-2019,36,29,31.6,43.2,0,0,0,20.5,194.08,6.5,65.7,59.36,Partially cloudy
"Chennai, TN, India",07-12-2019,37,28.7,31.5,41.9,0.3,0,0,22.3,209.58,6.7,45,65.08,"Rain, Partially cloudy"
"Chennai, TN, India",07/13/2019,37,27,31.5,44.4,5.31,0,0,18.4,224.25,6.6,52.8,66.83,"Rain, Partially cloudy"
"Chennai, TN, India",07/14/2019,36,27,30.4,43.5,0,0,0,38.2,227.22,6.1,60.1,70.24,Partially cloudy
"Chennai, TN, India",07/15/2019,38,26.6,30.3,43.4,11.4,0,0,28.9,226.46,6.3,46,70.4,"Rain, Partially cloudy"
"Chennai, TN, India",07/16/2019,37,23.9,29.6,43.3,48.6,0,0,38.4,235.96,6.3,55.1,77.8,"Rain, Partially cloudy"
"Chennai, TN, India",07/17/2019,34,25.7,30.4,42,9.3,0,0,22.4,203.42,6.1,68.5,76.03,"Rain, Partially cloudy"
"Chennai, TN, India",07/18/2019,37,27.5,31.3,44.5,0.8,0,0,22.3,230.96,6.3,61.1,71.22,"Rain, Partially cloudy"
"Chennai, TN, India",07/19/2019,35,27.8,30.3,41.9,0,0,0,22.3,226,6.1,55.9,72.88,Partially cloudy
"Chennai, TN, India",07/20/2019,37,25.8,30,44.5,1,0,0,26,206.58,6.4,48.6,75.11,"Rain, Partially cloudy"
"Chennai, TN, India",07/21/2019,35,26.9,30.6,40.6,0,0,0,44.3,222.67,6.6,53.4,71.3,Partially cloudy
"Chennai, TN, India",07/22/2019,29.1,27,28.3,35.7,15.7,0,0,42.8,197.79,4.8,71.3,84.35,"Rain, Partially cloudy"
"Chennai, TN, India",07/23/2019,34,26,29,40.6,45.91,0,0,43.8,229.63,5.6,71.1,75.27,"Rain, Partially cloudy"
"Chennai, TN, India",07/24/2019,36,26,30.4,43.2,14,0,0,37.6,212.3,6.2,49.1,71.67,"Rain, Partially cloudy"
"Chennai, TN, India",07/25/2019,34,25,29,42.2,87.88,0,0,43.2,221.88,5.4,70.4,83.92,"Rain, Partially cloudy"
"Chennai, TN, India",07/26/2019,33,24.3,28.7,40.6,50,0,0,27.7,248.33,5.5,68.4,79.11,"Rain, Partially cloudy"
"Chennai, TN, India",07/27/2019,35,28,30.8,43.3,0,0,0,23.2,267.13,6.3,62,66.73,Partially cloudy
"Chennai, TN, India",07/28/2019,34,26,30.5,40.6,0.4,0,0,18.1,274.42,6.5,61.9,69.61,"Rain, Partially cloudy"
"Chennai, TN, India",07/29/2019,35,27,30,43.3,0.6,0,0,23.6,257.21,6.2,60.2,75.25,"Rain, Partially cloudy"
"Chennai, TN, India",07/30/2019,34,27.3,30.2,40.6,0,0,0,20.5,257.79,6.7,49.2,73.85,Partially cloudy
"Chennai, TN, India",07/31/2019,37,28.8,31.5,44.5,0,0,0,24.1,264.21,6.8,48.6,68.89,Partially cloudy
"Chennai, TN, India",08-01-2019,35,28.5,31.1,42.4,0,0,0,30.8,243.96,6.7,52.9,71.78,Partially cloudy
"Chennai, TN, India",08-02-2019,34,26.1,30.7,42.4,0.3,0,0,47.2,234.04,5.9,63.9,72.52,"Rain, Partially cloudy"
"Chennai, TN, India",08-03-2019,36,27.5,31,43.2,0,0,0,47.1,257.54,6.4,52.3,70.86,Partially cloudy
"Chennai, TN, India",08-04-2019,37,27.1,31.2,44.5,3,0,0,30.1,266.67,6.6,58.3,66.99,"Rain, Partially cloudy"
"Chennai, TN, India",08-05-2019,35,26,30.4,41.9,1,0,0,33.3,279.42,6.2,67.1,68.43,"Rain, Partially cloudy"
"Chennai, TN, India",08-06-2019,35,25.8,30.3,43.3,0.2,0,0,32.2,274.13,6.2,68.3,68.99,"Rain, Partially cloudy"
"Chennai, TN, India",08-07-2019,35,27.8,31.2,41.9,0,0,0,33.9,271.67,6.6,62.9,64.11,Partially cloudy
"Chennai, TN, India",08-08-2019,37,28.7,31.9,44.7,0,0,0,29.9,243.38,6.4,64,61.74,Partially cloudy
"Chennai, TN, India",08-09-2019,37,27.3,31.3,46,0,0,0,22.3,270.63,6.5,60.6,62.33,Partially cloudy
"Chennai, TN, India",08-10-2019,37,26.6,30.8,46,0,0,0,30.5,261.83,6.6,56.3,64.84,Partially cloudy
"Chennai, TN, India",08-11-2019,39,26.8,31.5,44.6,0,0,0,24.1,273.63,7.2,45.3,64.29,Partially cloudy
"Chennai, TN, India",08-12-2019,38,25.7,31.7,45.8,0,0,0,30.5,259.88,6.5,45.6,64.41,Partially cloudy
"Chennai, TN, India",08/13/2019,38,26.7,31.2,47.3,12.7,0,0,23.3,252.21,6.3,54,71.48,"Rain, Partially cloudy"
"Chennai, TN, India",08/14/2019,37,25.7,30.2,46,1,0,0,22.3,253.79,5.9,55.5,77.11,"Rain, Partially cloudy"
"Chennai, TN, India",08/15/2019,36,26.1,30.3,44.7,13,0,0,18.4,212.83,6.6,63.7,76.95,"Rain, Partially cloudy"
"Chennai, TN, India",08/16/2019,37,25.2,30.3,46,3,0,0,18.4,223.29,6.2,57.2,77.11,"Rain, Partially cloudy"
"Chennai, TN, India",08/17/2019,31,24.6,27.7,39.1,41.55,0,0,38.3,270.42,4.8,63.9,89.14,"Rain, Partially cloudy"
"Chennai, TN, India",08/18/2019,31,26,28.3,37.7,37.02,0,0,26,260.17,5.5,64.6,83.59,"Rain, Partially cloudy"
"Chennai, TN, India",08/19/2019,36,27.9,30.4,46.3,0,0,0,30.9,257.08,7.2,46.6,75.94,Partially cloudy
"Chennai, TN, India",08/20/2019,35,27,30.1,46.7,8.25,0,0,44.4,262.04,6.3,58,81.23,"Rain, Partially cloudy"
"Chennai, TN, India",08/21/2019,35,27,30.5,44.9,11.18,0,0,48.1,270.04,6.2,64.7,76.66,"Rain, Partially cloudy"
"Chennai, TN, India",08/22/2019,33,25.9,29.8,42.1,0,0,0,22.3,275.63,6,66.9,75.6,Partially cloudy
"Chennai, TN, India",08/23/2019,36,27.3,30.6,44.7,0,0,0,28.1,250.75,6.8,59.4,72.27,Partially cloudy
"Chennai, TN, India",08/24/2019,35,26.3,30.3,44.9,10.62,0,0,20.1,233,6.3,58.7,73.63,"Rain, Partially cloudy"
"Chennai, TN, India",08/25/2019,35,27.8,31,43.5,0,0,0,22.3,220.88,6.9,49.5,70.83,Partially cloudy
"Chennai, TN, India",08/26/2019,35,28.3,31.4,43.3,0,0,0,24.1,221.83,7.3,47.4,67.91,Partially cloudy
"Chennai, TN, India",08/27/2019,36,28,31.5,44.7,0,0,0,26.5,220.54,7.2,49,68.18,Partially cloudy
"Chennai, TN, India",08/28/2019,36,24.5,30.4,43.2,8.18,0,0,29.5,218.75,5.9,60.6,72.28,"Rain, Partially cloudy"
"Chennai, TN, India",08/29/2019,37,26.8,31.2,46,0,0,0,25.9,228.35,6.1,45.5,74.62,Partially cloudy
"Chennai, TN, India",08/30/2019,37,23.4,30.3,44.7,25.71,0,0,25.9,233.46,5.8,47.4,74.51,"Rain, Partially cloudy"
"Chennai, TN, India",08/31/2019,33,27.8,30.4,43.8,0,0,0,16.6,231.21,6.2,59,75.99,Partially cloudy
"Chennai, TN, India",09-01-2019,33,26,29.5,39.1,4.6,0,0,14.8,193.78,6.1,66.5,77.25,"Rain, Partially cloudy"
"Chennai, TN, India",09-02-2019,34,27,29.9,41.2,17.8,0,0,17.2,212.79,6.5,66.7,76.21,"Rain, Partially cloudy"
"Chennai, TN, India",09-03-2019,34,25.8,29.2,42,3.45,0,0,18.4,211.63,6.4,69.8,79.21,"Rain, Partially cloudy"
"Chennai, TN, India",09-04-2019,35,26.5,29.8,43.3,7.82,0,0,39.7,208.46,6.1,59.7,76.78,"Rain, Partially cloudy"
"Chennai, TN, India",09-05-2019,34,27,30.2,38.3,0,0,0,38.8,219.71,6.6,59.9,66.25,Partially cloudy
"Chennai, TN, India",09-06-2019,35,28,30.5,39.5,3,0,0,31.3,196.38,6.7,50.5,62.99,"Rain, Partially cloudy"
"Chennai, TN, India",09-07-2019,37,28.3,30.9,41,0,0,0,27.4,185.33,6.6,60.8,61.84,Partially cloudy
"Chennai, TN, India",09-08-2019,36,28.4,31.3,40.8,0,0,0,31.7,205.21,6.7,51.8,62.54,Partially cloudy
"Chennai, TN, India",09-09-2019,35,28.4,30.7,40.6,0,0,0,28.7,213.54,6.8,51.5,64.41,Partially cloudy
"Chennai, TN, India",09-10-2019,36,28.3,30.7,43.3,0,0,0,26.5,204.75,6.9,49.4,69.64,Partially cloudy
"Chennai, TN, India",09-11-2019,33,25.9,29.1,39.2,0.7,0,0,22.8,196.17,6.2,65.9,77.45,"Rain, Partially cloudy"
"Chennai, TN, India",09-12-2019,34,24,28.3,40.5,11.2,0,0,25.9,224.71,6.2,62.1,78.92,"Rain, Partially cloudy"
"Chennai, TN, India",09/13/2019,34,25.9,28.9,41.1,0,0,0,22.3,214.29,6.3,59.4,75.4,Partially cloudy
"Chennai, TN, India",09/14/2019,34,25,29.1,40.9,0,0,0,18.4,202.48,6.8,49.6,73.74,Partially cloudy
"Chennai, TN, India",09/15/2019,35,26,29.5,41.9,2.3,0,0,18.4,219.08,6.3,50.9,75.44,"Rain, Partially cloudy"
"Chennai, TN, India",09/16/2019,34,26,30.1,43.4,0,0,0,27.7,226.08,6.8,54.2,71.04,Partially cloudy
"Chennai, TN, India",09/17/2019,33,25.9,28.9,39.3,3.6,0,0,24.1,236.88,6.3,69.5,79.45,"Rain, Partially cloudy"
"Chennai, TN, India",09/18/2019,31,26.7,28.9,39.1,0,0,0,24.3,221.38,6.4,63.8,81.38,Partially cloudy
"Chennai, TN, India",09/19/2019,30,23.8,26.7,36.8,143.16,0,0,18.4,194.33,4.7,67.2,90.53,"Rain, Partially cloudy"
"Chennai, TN, India",09/20/2019,32,26,28.4,39.2,5,0,0,13,167.58,5.2,59.8,85.32,"Rain, Partially cloudy"
"Chennai, TN, India",09/21/2019,33,26.8,29,43.7,0,0,0,14.2,172.96,5.6,45.6,82.4,Partially cloudy
"Chennai, TN, India",09/22/2019,30.7,26.7,27.6,38.2,23.53,0,0,17,125.75,4.3,55.9,90.37,"Rain, Partially cloudy"
"Chennai, TN, India",09/23/2019,33,26.4,29.5,42.1,0,0,0,20.5,131.67,4.6,53,81.15,Partially cloudy
"Chennai, TN, India",09/24/2019,33,26.9,29,42.1,5.45,0,0,24.6,203.3,4.8,66,84.15,"Rain, Partially cloudy"
"Chennai, TN, India",09/25/2019,32,26,28.6,40.6,16.27,0,0,19.4,181.58,5.9,64.1,84.15,"Rain, Partially cloudy"
"Chennai, TN, India",09/26/2019,32,24,28.1,40.6,36,0,0,18.4,186,6.3,51.2,82.14,"Rain, Partially cloudy"
"Chennai, TN, India",09/27/2019,32,26.5,29.2,40.6,0,0,0,18.4,122.58,6.6,40.1,79.44,Partially cloudy
"Chennai, TN, India",09/28/2019,33,26,29.3,39.3,0,0,0,18.4,100.5,6.3,38,75.99,Partially cloudy
"Chennai, TN, India",09/29/2019,33,26.9,29.5,39.3,0,0,0,14.8,119.88,6,46,75.99,Partially cloudy
"Chennai, TN, India",09/30/2019,32,26.5,29.1,37.9,1,0,0,18.4,158.08,6,42.1,77.05,"Rain, Partially cloudy"
