Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Chennai, TN, India",10-01-2019,34,26,29.5,40.6,0,0,0,27.7,155.83,6.4,38,75.81,Partially cloudy
"Chennai, TN, India",10-02-2019,34,27,29.9,42.1,0,0,0,26.2,172,6,40,77.3,Partially cloudy
"Chennai, TN, India",10-03-2019,34,27,29.9,42.1,0,0,0,22.3,159.5,6.5,35.7,76.11,Partially cloudy
"Chennai, TN, India",10-04-2019,34,27,29.9,40.6,0,0,0,18.4,193.25,6.6,35,75.08,Partially cloudy
"Chennai, TN, India",10-05-2019,33,26,29.5,39.3,0,0,0,18.4,170.04,6.5,38,73.74,Partially cloudy
"Chennai, TN, India",10-06-2019,33,27,29.9,39.9,0,0,0,18.4,190.63,6.5,40,75.5,Partially cloudy
"Chennai, TN, India",10-07-2019,35,27,30.1,40.6,0,0,0,16.6,176.92,6.3,33,74.03,Partially cloudy
"Chennai, TN, India",10-08-2019,34,27,29.9,40.6,0,0,0,16.6,200.63,6.3,37.6,74.53,Partially cloudy
"Chennai, TN, India",10-09-2019,32,27,29.8,39.7,0,0,0,18.4,146.63,6.2,39.6,74.88,Partially cloudy
"Chennai, TN, India",10-10-2019,32.1,27,29.2,38.9,1,0,0,16.6,141.29,5.8,43.2,77.71,"Rain, Partially cloudy"
"Chennai, TN, India",10-11-2019,33,26,29.7,40.6,0,0,0,18.4,136.21,6.3,36.3,75.55,Partially cloudy
"Chennai, TN, India",10-12-2019,34,27,30.1,40.6,0,0,0,22.3,111.25,6.2,33.7,73.45,Partially cloudy
"Chennai, TN, India",10/13/2019,33,27,30.2,40.6,0,0,0,20.5,98.67,6.2,40.9,73.9,Partially cloudy
"Chennai, TN, India",10/14/2019,34,27,30.2,42,3.1,0,0,22.3,149.83,6.2,46.2,74.27,"Rain, Partially cloudy"
"Chennai, TN, India",10/15/2019,33,26,29.2,40.6,5.9,0,0,18.4,156.25,5.5,65.1,81.92,"Rain, Partially cloudy"
"Chennai, TN, India",10/16/2019,30,24.7,27.1,37.4,14.48,0,0,16.6,116.29,5.4,64.8,88.26,"Rain, Partially cloudy"
"Chennai, TN, India",10/17/2019,28,24,25.8,32.7,60.9,0,0,11.2,173.58,4.3,71.2,94.87,"Rain, Partially cloudy"
"Chennai, TN, India",10/18/2019,31,24.7,27.7,37.7,100,0,0,18.4,119.17,5.1,65.9,86.38,"Rain, Partially cloudy"
"Chennai, TN, India",10/19/2019,31,25,27.4,37.7,7.2,0,0,16.6,126.63,5,70.1,88.94,"Rain, Partially cloudy"
"Chennai, TN, India",10/20/2019,30,25,27,36.2,25.57,0,0,18.4,133.65,4.8,70.9,91.7,"Rain, Partially cloudy"
"Chennai, TN, India",10/21/2019,28,25,26.1,32.7,55.47,0,0,17,148.5,4,73.9,93.71,"Rain, Partially cloudy"
"Chennai, TN, India",10/22/2019,27,24,25.5,30.6,30,0,0,15.7,251.58,4.3,68.9,93.46,"Rain, Partially cloudy"
"Chennai, TN, India",10/23/2019,32,25,28.2,37.9,0,0,0,13,192.67,5.7,58.5,81.66,Partially cloudy
