Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Delhi, DL, India",04-01-2019,33.8,16,26.6,32.5,0,0,0,21.1,277.46,3.7,0,41.53,Clear
"Delhi, DL, India",04-02-2019,35,17.7,27,33.5,0,0,0,14.2,215.25,3.9,4.8,42.23,Clear
"Delhi, DL, India",04-03-2019,36.2,19,27.9,35.3,0,0,0,15.4,189.17,3.7,12.8,42.29,Clear
"Delhi, DL, India",04-04-2019,39,20.7,29.8,38.2,0,0,0,14.1,116.38,3.6,9.4,44.48,Clear
"Delhi, DL, India",04-05-2019,40,21.5,30.8,42,0,0,0,23,150.04,3.4,10.7,44.14,Clear
"Delhi, DL, India",04-06-2019,38.6,23.9,31.9,39,0,0,0,11.4,143.78,3.6,22.7,37.99,Clear
"Delhi, DL, India",04-07-2019,35,23,30,40.2,11,0,0,32.5,96.58,2.5,40.2,55.2,"Rain, Partially cloudy"
"Delhi, DL, India",04-08-2019,36,21.8,28,36.8,0,0,0,17.2,104.75,2.8,29.7,53.23,Partially cloudy
"Delhi, DL, India",04-09-2019,37,22.3,29.6,38.1,0,0,0,11.2,97.92,3.5,13.3,48.7,Clear
"Delhi, DL, India",04-10-2019,38.8,22.9,31.3,38.6,0,0,0,15.5,200.04,3.5,4.4,44.46,Clear
"Delhi, DL, India",04-11-2019,38.9,24.5,32,38.8,0,0,0,15.3,201.29,4,18.1,38.43,Clear
"Delhi, DL, India",04-12-2019,37,25,30.6,39.1,0.66,0,0,17.8,191.67,3.8,26.2,42.44,"Rain, Partially cloudy"
"Delhi, DL, India",04/13/2019,38,23.7,31.2,39,0,0,0,25.4,215.67,3.9,4.7,38.74,Clear
"Delhi, DL, India",04/14/2019,39,24,31.6,39.3,0,0,0,18.4,280.67,4.1,7.1,36.97,Clear
"Delhi, DL, India",04/15/2019,40,27,33.2,40.4,0,0,0,18,249.33,3.9,21.4,33.58,Clear
"Delhi, DL, India",04/16/2019,30.5,21,25.7,32.9,2.08,0,0,27.7,167.43,2.9,74.6,59.57,"Rain, Partially cloudy"
"Delhi, DL, India",04/17/2019,28.8,19,23.1,29.5,3.35,0,0,25.4,141.46,2.7,64,66.05,"Rain, Partially cloudy"
"Delhi, DL, India",04/18/2019,30.8,18,24.6,31,3.26,0,0,11.5,158.08,3.7,27.1,59.46,"Rain, Partially cloudy"
"Delhi, DL, India",04/19/2019,32,19,26.2,31.8,0,0,0,14.4,224.79,3.6,14.5,51.76,Clear
"Delhi, DL, India",04/20/2019,34.8,15.9,28,34.9,0,0,0,9.4,215.58,3.5,17.6,47.27,Clear
"Delhi, DL, India",04/21/2019,37.2,22.3,30.4,37,0,0,0,16.3,186.92,3.4,11.5,39.51,Clear
"Delhi, DL, India",04/22/2019,38.2,23.8,31.7,38.9,0,0,0,16.4,129.38,3.1,7.5,41.54,Clear
"Delhi, DL, India",04/23/2019,40.4,24.4,33,41.3,0,0,0,12.9,142.42,3.5,11.1,40.04,Clear
"Delhi, DL, India",04/24/2019,41.4,28.8,34.9,46.3,0,0,0,18.3,161.17,3.3,26.2,38.55,Partially cloudy
"Delhi, DL, India",04/25/2019,42.2,28.7,34.1,47.7,1,0,0,16.6,106.96,2.7,32.5,46.06,"Rain, Partially cloudy"
"Delhi, DL, India",04/26/2019,40.4,26.1,33.5,41,0,0,0,20.5,207,3.1,10,35.3,Clear
"Delhi, DL, India",04/27/2019,41,27,34.6,40.2,0,0,0,25.3,285.96,3.6,0,27.24,Clear
"Delhi, DL, India",04/28/2019,41.2,26,34.4,39.1,0,0,0,18.3,285.58,3.1,0,24.53,Clear
"Delhi, DL, India",04/29/2019,42.2,25,34.4,40.6,0,0,0,15,232.54,3.2,0,25.48,Clear
"Delhi, DL, India",04/30/2019,43.2,25.3,35.4,44.1,0,0,0,13.6,128.33,3.1,21.4,26.72,Clear
"Delhi, DL, India",05-01-2019,41.4,26,34.3,42,0,0,0,11.2,110,2.9,27.1,32.34,Partially cloudy
"Delhi, DL, India",05-02-2019,39.7,27.4,32.7,47.2,0.8,0,0,21,110.71,2.9,52.4,37.77,"Rain, Partially cloudy"
"Delhi, DL, India",05-03-2019,38.9,24.2,30.6,42.2,5.25,0,0,47.7,107.67,3.6,43.2,44.8,"Rain, Partially cloudy"
"Delhi, DL, India",05-04-2019,39,23.8,31.7,38,0,0,0,21.6,258.17,3.5,15.5,36.05,Clear
"Delhi, DL, India",05-05-2019,39.2,21.6,32,39,0,0,0,18,256.63,3.3,7.1,28.52,Clear
"Delhi, DL, India",05-06-2019,41,24.5,33.2,40.8,0,0,0,21,216.63,3,0,29.37,Clear
"Delhi, DL, India",05-07-2019,41.2,23.8,33.3,43.5,0,0,0,21,195.79,2.6,10.1,31.4,Clear
"Delhi, DL, India",05-08-2019,41.9,25.8,34.5,45.3,0,0,0,22.7,193.67,2.8,11.5,31.53,Clear
"Delhi, DL, India",05-09-2019,41.8,29,35.2,46.6,0,0,0,21.6,243.96,2.9,5.7,29.4,Clear
"Delhi, DL, India",05-10-2019,41.2,29.9,34.9,44.9,0,0,0,16.9,252.3,3.1,30.3,32.13,Partially cloudy
"Delhi, DL, India",05-11-2019,39.2,25,33,43.4,0.4,0,0,15.6,240.33,2.8,29.5,40.14,"Rain, Partially cloudy"
"Delhi, DL, India",05-12-2019,38.4,27,32.7,42.2,0,0,0,19.7,241.71,2.2,32.2,41.04,Partially cloudy
"Delhi, DL, India",05/13/2019,40,25,31.7,46.6,6.45,0,0,26.1,196.5,2.2,31,46.01,"Rain, Partially cloudy"
"Delhi, DL, India",05/14/2019,35.1,24,30,38.5,3,0,0,14.2,233.58,3.3,32.8,52.54,"Rain, Partially cloudy"
"Delhi, DL, India",05/15/2019,35,23,29.2,41.1,6.78,0,0,17.7,74.48,2.8,44.3,59.14,"Rain, Partially cloudy"
"Delhi, DL, India",05/16/2019,36.2,25.2,30.6,40.6,2,0,0,33.2,152.74,3.5,42.3,53.82,"Rain, Partially cloudy"
"Delhi, DL, India",05/17/2019,36.8,21,28.3,42.1,12.33,0,0,16.6,139.08,3,48,62.27,"Rain, Partially cloudy"
"Delhi, DL, India",05/18/2019,32.8,21,27,36,14.24,0,0,20.8,281.13,3.2,32.2,64.55,"Rain, Partially cloudy"
"Delhi, DL, India",05/19/2019,37.2,24.3,31.2,36.8,0,0,0,17.2,223.29,3,4,44.44,Clear
"Delhi, DL, India",05/20/2019,40,24.8,32.8,39.6,0,0,0,18.5,200.79,3.3,15.2,37.73,Clear
