Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Delhi, DL, India",01-01-2019,22.3,5.8,13.9,27.8,0,0,0,9.4,162.7,1.7,10.4,66.93,Clear
"Delhi, DL, India",01-02-2019,22.7,7.9,14.9,27.8,0,0,0,11.2,68.38,1.5,16.2,70.64,Clear
"Delhi, DL, India",01-03-2019,19.9,7,12.6,27.8,0,0,0,21.1,206.3,0.8,0,83.22,Clear
"Delhi, DL, India",01-04-2019,17.7,8,12,27.8,0,0,0,21.5,188.04,0.8,34.1,86.91,Partially cloudy
"Delhi, DL, India",01-05-2019,20.9,7.6,11.8,27.8,0,0,0,21.6,99.69,1,31.5,88,Partially cloudy
"Delhi, DL, India",01-06-2019,19.2,10.5,14.7,27.8,5.77,0,0,22.3,161.6,1.5,50,81.43,"Rain, Partially cloudy"
"Delhi, DL, India",01-07-2019,19.5,8,12.9,27.8,0,0,0,11.2,240.08,1.1,17.4,86.74,Clear
"Delhi, DL, India",01-08-2019,19,8,11.5,27.8,0,0,0,15,206.07,0.7,26.6,92.51,Partially cloudy
"Delhi, DL, India",01-09-2019,20.3,7,13.9,27.8,0,0,0,24.3,274,2.1,0,71.04,Clear
"Delhi, DL, India",01-10-2019,20.5,5.3,13,27.8,0,0,0,11.2,222.04,1.8,13.4,72.33,Clear
"Delhi, DL, India",01-11-2019,21.5,6.7,13.9,27.8,0,0,0,9.4,75.04,1.6,16.8,71.95,Clear
"Delhi, DL, India",01-12-2019,22,8.8,14.8,27.8,0,0,0,11.2,59.92,1.3,43.7,72.24,Partially cloudy
"Delhi, DL, India",01/13/2019,22.4,9.6,15.8,27.8,0,0,0,14.8,183.78,1.2,25.4,74.19,Partially cloudy
"Delhi, DL, India",01/14/2019,19,9,13.3,27.8,0,0,0,24.6,271.92,2.4,2.1,64.52,Clear
"Delhi, DL, India",01/15/2019,18.7,6,11.2,27.8,0,0,0,18.4,233.63,2.2,32.3,71.09,Partially cloudy
"Delhi, DL, India",01/16/2019,20,6.2,12.8,27.8,0,0,0,9.4,70.17,1.3,50.7,72.77,Partially cloudy
"Delhi, DL, India",01/17/2019,21.7,6.3,13.4,27.8,0,0,0,14.8,150.5,1,8.2,74.59,Clear
"Delhi, DL, India",01/18/2019,20.8,6,12.6,27.8,0,0,0,22.8,180.25,1,6,78.44,Clear
"Delhi, DL, India",01/19/2019,25.1,7.7,15.1,27.8,0,0,0,9.4,150.63,1.5,14,71.64,Clear
"Delhi, DL, India",01/20/2019,28,9.5,18.2,27.8,0,0,0,9.4,98.67,2,44.1,63.87,Partially cloudy
"Delhi, DL, India",01/21/2019,23,13,16.8,27.8,13.93,0,0,26.5,107.88,1.8,58.9,79.23,"Rain, Partially cloudy"
