Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Delhi, DL, India",07-01-2019,41.2,31.6,36.2,49.1,0,0,0,14.8,160.5,3.3,23.8,42.57,Clear
"Delhi, DL, India",07-02-2019,41,31.3,35.4,53,0,0,0,14.8,160.71,2.8,31.6,48.38,Partially cloudy
"Delhi, DL, India",07-03-2019,38.5,30.7,34.8,49.1,0,0,0,20.5,95.75,3.4,46,54.14,Partially cloudy
"Delhi, DL, India",07-04-2019,37,27,31.7,45.8,2.31,0,0,18.4,158,2.9,64.4,69.61,"Rain, Partially cloudy"
"Delhi, DL, India",07-05-2019,34,28,29.8,43.5,22.16,0,0,24.1,132.54,2.3,68.3,78.61,"Rain, Partially cloudy"
"Delhi, DL, India",07-06-2019,36.5,27.5,31.9,46.2,0,0,0,11.3,89.5,2.8,52.5,68.63,Partially cloudy
"Delhi, DL, India",07-07-2019,35.8,28.4,31.8,46.9,24.8,0,0,18.4,164.54,3.1,48,68.39,"Rain, Partially cloudy"
"Delhi, DL, India",07-08-2019,36,29,32.8,49,25,0,0,14.8,159.22,2.9,60.9,66.04,"Rain, Partially cloudy"
"Delhi, DL, India",07-09-2019,34,29,31.2,43,22.44,0,0,15.1,172.5,2.8,68.5,70.07,"Rain, Partially cloudy"
"Delhi, DL, India",07-10-2019,37.2,29.1,33.6,47,0,0,0,17.3,205.88,2.7,62.3,63.18,Partially cloudy
"Delhi, DL, India",07-11-2019,39,32,35.1,49.6,3,0,0,22.7,218.96,2.7,50.2,53.37,"Rain, Partially cloudy"
"Delhi, DL, India",07-12-2019,38.1,31.5,34.7,46.7,0,0,0,19.9,213.29,2.6,63.1,55.72,Partially cloudy
"Delhi, DL, India",07/13/2019,39.2,32,35.2,47.6,0,0,0,23.3,216.79,2.9,48.3,51.35,Partially cloudy
"Delhi, DL, India",07/14/2019,37.4,30.8,34,48.6,0,0,0,18.4,182.46,2.8,58.2,56.17,Partially cloudy
"Delhi, DL, India",07/15/2019,34.4,23.8,28.7,43.2,29.57,0,0,29.4,94.79,2.8,69.2,76.89,"Rain, Partially cloudy"
"Delhi, DL, India",07/16/2019,36,25.7,28.8,41.8,20.06,0,0,14.8,71.08,3.3,69.9,78.57,"Rain, Partially cloudy"
"Delhi, DL, India",07/17/2019,31.8,24,27.5,36.8,22.06,0,0,14.8,208.67,2.9,67.9,85,"Rain, Partially cloudy"
"Delhi, DL, India",07/18/2019,30,23,26.9,36,27.59,0,0,11.2,171.33,2.8,69,86.5,"Rain, Partially cloudy"
"Delhi, DL, India",07/19/2019,36,26.2,31,43.7,0,0,0,9.6,95,3.2,44.9,70.64,Partially cloudy
