Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Delhi, DL, India",10-01-2019,31.9,24,27.5,37.5,2,0,0,11.2,104.29,3.1,63.5,78.98,"Rain, Partially cloudy"
"Delhi, DL, India",10-02-2019,32.8,23,28,37.5,0,0,0,7.7,69.63,3.1,34.7,73.57,Partially cloudy
"Delhi, DL, India",10-03-2019,34.1,21.5,27.9,37.7,61.32,0,0,16.7,140.71,2.9,49.5,72.22,"Rain, Partially cloudy"
"Delhi, DL, India",10-04-2019,30.8,22.6,26.2,34.9,29.25,0,0,15,250.54,3.3,51.5,76.9,"Rain, Partially cloudy"
"Delhi, DL, India",10-05-2019,31.8,22,26.6,33,0,0,0,15.4,264.04,3.7,29.8,65.35,Partially cloudy
"Delhi, DL, India",10-06-2019,32.8,22,26.9,34.6,0,0,0,11.3,265.71,3.4,33.8,66.76,Partially cloudy
"Delhi, DL, India",10-07-2019,31.6,23,26.9,33,0,0,0,17.3,284.83,3.2,39.7,67.22,Partially cloudy
"Delhi, DL, India",10-08-2019,31.6,21,26.4,32,0,0,0,15.1,231.29,3.9,0.5,61.4,Clear
"Delhi, DL, India",10-09-2019,33.4,21.5,27,33.5,0,0,0,7.9,121.43,3.3,15.2,63.05,Clear
"Delhi, DL, India",10-10-2019,33.7,21.6,27.1,33.8,0,0,0,11.2,102.67,3,15.3,60.15,Clear
"Delhi, DL, India",10-11-2019,32.6,21.1,26.9,32.6,0,0,0,9.3,236.09,2.9,6.9,61.94,Clear
"Delhi, DL, India",10-12-2019,32.8,22,27.4,34.6,0,0,0,9.4,113.88,3.1,8,63.8,Clear
"Delhi, DL, India",10/13/2019,32.8,22,27.2,34.6,0,0,0,9,125.42,2.9,7.3,62.42,Clear
"Delhi, DL, India",10/14/2019,33.8,21.4,27,35.3,0,0,0,7.2,157.13,2.8,16.5,63.93,Clear
"Delhi, DL, India",10/15/2019,33.8,21.5,27.4,35.7,0,0,0,9.4,88.88,2.7,0,63.42,Clear
"Delhi, DL, India",10/16/2019,33.6,22.6,27.9,35.7,0.9,0,0,8.2,42.42,2.3,0.3,65.29,Rain
"Delhi, DL, India",10/17/2019,33,22.7,27.5,35.3,0,0,0,9.4,69.5,2.3,0,65.26,Clear
"Delhi, DL, India",10/18/2019,33.8,22.2,27.4,36.6,32,0,0,37.1,119.33,2.6,19.8,59.91,Rain
"Delhi, DL, India",10/19/2019,32,21.7,26.6,33.5,2.07,0,0,13,175.38,2.7,43.7,58.9,"Rain, Partially cloudy"
"Delhi, DL, India",10/20/2019,31.8,20,25.9,31,0,0,0,12.1,170.83,2.6,26.1,57.67,Partially cloudy
"Delhi, DL, India",10/21/2019,31.6,18.6,24.8,31.1,0,0,0,16.6,202,2.4,21,57.08,Clear
"Delhi, DL, India",10/22/2019,30.8,18,24,30,0,0,0,14.1,193.96,2.8,24.2,57.23,Clear
"Delhi, DL, India",10/23/2019,31.8,17.8,24.5,31.5,0,0,0,11.5,180.58,2.5,0,56.56,Clear
"Delhi, DL, India",10/24/2019,31,18.6,24.7,31.5,0,0,0,7.6,74.67,2.1,0,63.02,Clear
"Delhi, DL, India",10/25/2019,30.5,19.5,24.5,30.6,0,0,0,11.1,89.38,2.1,0,62.08,Clear
"Delhi, DL, India",10/26/2019,30,18.6,24.3,30.6,0,0,0,9.4,63.21,2.2,17.9,64.23,Clear
"Delhi, DL, India",10/27/2019,31.1,18.9,24.5,30.5,0,0,0,15.4,146.63,2.1,3.7,60.22,Clear
"Delhi, DL, India",10/28/2019,29.8,18.9,24.3,29.8,0,0,0,11.2,154.79,1.6,18.2,59.16,Clear
"Delhi, DL, India",10/29/2019,28.6,19.7,23.8,29.7,0,0,0,5.4,82.21,1.5,50.2,69.73,Partially cloudy
"Delhi, DL, India",10/30/2019,30.6,20.7,24.9,31,0,0,0,9.4,148.29,1.5,44.9,62.82,Partially cloudy
"Delhi, DL, India",10/31/2019,31.8,18.7,24.3,31.4,0,0,0,11.2,135.58,1.4,28.8,64.21,Partially cloudy
"Delhi, DL, India",11-01-2019,31.6,18.4,24.8,32.8,0,0,0,11.2,67.46,1.1,27.8,66.97,Partially cloudy
"Delhi, DL, India",11-02-2019,29,20,23.9,30.1,0.5,0,0,16,169.52,1.2,41.1,71.17,"Rain, Partially cloudy"
"Delhi, DL, India",11-03-2019,27,19,22.8,27.8,0.3,0,0,15.8,238.17,0.9,56.5,77.7,"Rain, Partially cloudy"
"Delhi, DL, India",11-04-2019,29,19,23.4,29.2,0,0,0,13.6,260.75,1.9,26.2,68.68,Partially cloudy
"Delhi, DL, India",11-05-2019,29.8,18,23.3,29.3,0,0,0,21.5,173.75,2.4,0,58.75,Clear
"Delhi, DL, India",11-06-2019,31.6,16.6,23.4,30.5,0,0,0,11.2,93.48,2.5,28.1,52.78,Partially cloudy
"Delhi, DL, India",11-07-2019,23,18,20.8,29.5,2.6,0,0,14.8,98.3,1.8,57.8,72.15,"Rain, Partially cloudy"
"Delhi, DL, India",11-08-2019,29.4,17.2,22.2,29,0,0,0,11.2,156.88,1.6,36.4,69.27,Partially cloudy
"Delhi, DL, India",11-09-2019,29.3,16,22.1,28.6,0,0,0,16.6,244.5,2.2,0,63.6,Clear
"Delhi, DL, India",11-10-2019,28.4,16.2,19.9,27.7,0,0,0,9.4,165.85,2.2,3.5,63.23,Clear
"Delhi, DL, India",11-11-2019,27.7,14.8,21.1,27.2,0,0,0,11.2,203,1.6,25,54.64,Clear
"Delhi, DL, India",11-12-2019,27,14,20,26.6,0,0,0,13,146.71,1.2,13.3,58.23,Clear
"Delhi, DL, India",11/13/2019,28,14.6,20.8,27.4,0,0,0,9.4,104.61,1,24.9,62.79,Clear
"Delhi, DL, India",11/14/2019,26,16.8,20.9,27.6,0,0,0,9.4,77.58,1,43.8,69.71,Partially cloudy
"Delhi, DL, India",11/15/2019,27.4,17,21.3,27.7,0,0,0,9.4,251.29,0.7,44.5,70.62,Partially cloudy
"Delhi, DL, India",11/16/2019,28.8,17.8,21.8,28.6,0,0,0,22.3,297.33,1.8,22.3,63.17,Clear
"Delhi, DL, India",11/17/2019,28.6,15,21.1,28.2,0,0,0,16.6,287,2.4,6,63.91,Clear
"Delhi, DL, India",11/18/2019,25,15,19.6,27.2,0,0,0,18.4,242.71,2.7,27.7,66.56,Partially cloudy
"Delhi, DL, India",11/19/2019,26.3,13.9,19.7,27.2,0,0,0,11.2,167.71,2.3,6.5,62.97,Clear
"Delhi, DL, India",11/20/2019,27.4,14.1,19.8,27.2,0,0,0,9.4,91.38,2.2,8.4,63.08,Clear
"Delhi, DL, India",11/21/2019,27.9,13.8,19.8,27.4,0,0,0,9.4,78.13,1.6,24.6,64.16,Clear
"Delhi, DL, India",11/22/2019,27.1,14,21,27.3,0,0,0,9.4,183.63,1.8,29.2,59.3,Partially cloudy
"Delhi, DL, India",11/23/2019,26.2,15.4,20.6,26.7,0,0,0,13,264.46,1.9,43,63.04,Partially cloudy
"Delhi, DL, India",11/24/2019,26.2,15,20.6,26.7,0,0,0,13,259.67,2.2,49.3,66.91,Partially cloudy
"Delhi, DL, India",11/25/2019,27,15.2,20.9,26.7,0,0,0,9.4,90.25,1.7,25.8,65.73,Partially cloudy
"Delhi, DL, India",11/26/2019,28,17.1,22.1,27.8,0,0,0,18.4,81.42,2.3,49.5,60.07,Partially cloudy
"Delhi, DL, India",11/27/2019,26.5,15.9,20.6,27.8,13.81,0,0,16.6,114.88,2.4,56.3,70.42,"Rain, Partially cloudy"
"Delhi, DL, India",11/28/2019,21.1,16.8,18.8,26,8.14,0,0,22.3,76.11,2.1,74.2,72.4,"Rain, Partially cloudy"
"Delhi, DL, India",11/29/2019,24.2,14.1,18.5,26,3.51,0,0,11.2,185.45,2.9,12.3,75.21,Rain
"Delhi, DL, India",11/30/2019,21.9,13,16.8,26,0,0,0,13.5,239.5,1.6,5.7,82.31,Clear
"Delhi, DL, India",12-01-2019,22.8,11.2,16.4,26,0,0,0,16.6,166.83,1.7,4.9,73.11,Clear
"Delhi, DL, India",12-02-2019,22.6,10.2,15.8,26,0,0,0,18.4,234.33,2.1,0,68.82,Clear
"Delhi, DL, India",12-03-2019,23.9,10,16,26,0,0,0,16.6,199.54,2.4,1.2,60.21,Clear
"Delhi, DL, India",12-04-2019,23.2,9.2,16.1,26,0,0,0,9.4,133.96,2.4,24.2,59.94,Clear
"Delhi, DL, India",12-05-2019,22.4,9.1,16,26,0,0,0,9.4,126.75,1.5,28.5,65.82,Partially cloudy
"Delhi, DL, India",12-06-2019,23.7,10.2,16.3,26,0,0,0,13,164.38,1.2,34.7,74.15,Partially cloudy
"Delhi, DL, India",12-07-2019,23.8,10.8,16.3,26,0,0,0,11.2,70.92,1,13.3,76.61,Clear
"Delhi, DL, India",12-08-2019,23,10.7,16.4,26,0,0,0,11.2,116.54,1.2,0,73.94,Clear
"Delhi, DL, India",12-09-2019,22.9,9.7,16,26,0,0,0,9.4,127.04,1.4,12.9,67.39,Clear
"Delhi, DL, India",12-10-2019,22,10.2,15.8,26,0,0,0,9.2,116.32,1.4,0,68.67,Clear
"Delhi, DL, India",12-11-2019,22.5,9.7,16.2,26,0,0,0,11.2,52.25,1.4,29.2,69.98,Partially cloudy
"Delhi, DL, India",12-12-2019,21,14.2,16.9,26,27.05,0,0,20.5,100.38,1.3,70.9,75.37,"Rain, Partially cloudy"
"Delhi, DL, India",12/13/2019,19,13.3,15.5,26,32.4,0,0,18.4,171.88,1.1,75.1,90.85,"Rain, Overcast"
"Delhi, DL, India",12/14/2019,18.3,12,14.6,26,0,0,0,9.4,161.04,1.5,66.8,82.75,Partially cloudy
"Delhi, DL, India",12/15/2019,18.8,10,13.5,26,0,0,0,14.8,253.83,1.3,33.4,87.26,Partially cloudy
"Delhi, DL, India",12/16/2019,12.6,10.9,11.2,26,0,0,0,14.8,276,1.1,40.8,93.68,Partially cloudy
"Delhi, DL, India",12/17/2019,12.1,8.7,11,26,0,0,0,14.8,261.38,1.3,45.6,85.99,Partially cloudy
"Delhi, DL, India",12/18/2019,17.5,8.4,11.4,26,0,0,0,14.8,199.83,1.3,41.1,85.84,Partially cloudy
"Delhi, DL, India",12/19/2019,14.5,6.9,10.3,26,0,0,0,9.4,72.04,0.7,11.8,92.78,Clear
"Delhi, DL, India",12/20/2019,16.4,9,11.1,26,0,0,0,12.4,170.63,0.3,53.7,94.56,Partially cloudy
"Delhi, DL, India",12/21/2019,17,9.6,12.4,26,0,0,0,13,246.83,0.5,47.4,92.69,Partially cloudy
"Delhi, DL, India",12/22/2019,14,9,10.7,26,0,0,0,15,281.29,0.8,33.6,96.15,Partially cloudy
"Delhi, DL, India",12/23/2019,12,6.9,9.6,26,0,0,0,13,235.29,1,24.6,94.02,Clear
"Delhi, DL, India",12/24/2019,15.4,7.5,10.2,26,0,0,0,9.4,175.91,0.7,26.1,90.78,Partially cloudy
"Delhi, DL, India",12/25/2019,11.1,7,8.5,26,0,0,0,14.8,283.04,0.8,39.3,94.81,Partially cloudy
"Delhi, DL, India",12/26/2019,12.5,6.1,8.4,26,0,0,0,13,237.96,1,41.2,89.94,Partially cloudy
"Delhi, DL, India",12/27/2019,13.2,5.5,8.4,26,0,0,0,9.4,178.91,1,27.3,86.62,Partially cloudy
"Delhi, DL, India",12/28/2019,12.5,3,7,26,0,0,0,9.4,131.38,0.7,15.2,95,Clear
"Delhi, DL, India",12/29/2019,14.8,4.6,8.7,26,0,0,0,11.2,121.5,0.6,37.6,89.27,Partially cloudy
"Delhi, DL, India",12/30/2019,9.1,4.7,6.6,26,0,0,0,11.2,83.55,0.2,35.1,98.82,Partially cloudy
"Delhi, DL, India",12/31/2019,14.2,5,9.3,26,0,0,0,11.2,63.63,1,27.7,80.22,Partially cloudy
