Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Rajgangpur, Rajagangapur(P), Odisha, India",03/28/2019,36.4,20.9,30.3,34,0,0,0,2.6,122.75,4.5,0,34.85,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",03/29/2019,37.7,19.9,30.9,36,0,0,0,9.4,166.6,4.5,0,38.71,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",03/30/2019,39.7,21.7,30.4,38.9,0,0,0,6,114.33,4.2,1.5,41.34,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",03/31/2019,39.1,23.2,33.4,39.3,0.2,0,0,11.2,173.82,3.9,22.3,35.87,Rain
"Rajgangpur, Rajagangapur(P), Odisha, India",04-01-2019,37.4,24.1,32.1,39.5,0,0,0,9.4,174,4.5,8.6,45.98,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",04-02-2019,39.2,22.7,33.5,37.2,0,0,0,7.6,164.29,4.9,0,27.94,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",04-03-2019,39.4,21.1,32.4,39,0,0,0,11.2,147.75,4.6,0,32.29,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",04-04-2019,39.7,22.7,33.3,41.3,0,0,0,14.8,195.38,4.1,20.1,42.22,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",04-05-2019,40.1,26.1,34.9,40.8,0,0,0,14.8,207.3,4.3,43.8,37.28,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",04-06-2019,39.2,25.4,34,40,0,0,0,9.4,167.6,4.5,43.1,35.58,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",04-07-2019,37.1,22.2,32,38.7,0,0,0,11.2,137.83,4.6,15.4,44.33,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",04-08-2019,36.9,24.1,30.6,41.7,0.3,0,0,11.2,147.89,4.7,28.1,54.06,"Rain, Partially cloudy"
"Rajgangpur, Rajagangapur(P), Odisha, India",04-09-2019,39.1,22.4,31.4,40.2,0,0,0,9.4,130,4.2,65,46.32,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",04-10-2019,40.1,24.1,33.8,41.6,0,0,0,14.8,215.71,4.5,18.3,41.4,Clear
