Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Rajgangpur, Rajagangapur(P), Odisha, India",01-01-2019,25.4,8.2,17.8,26.8,0,0,0,1,90,3.1,0,56.07,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01-02-2019,26.1,9.2,18.7,27,0,0,0,1,90,3.3,0,57.7,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01-03-2019,26.7,10.4,19,27,0,0,0,1,90,3.2,0,57.85,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01-04-2019,26.1,9.9,19.9,27.9,0,0,0,1.8,70,2.5,0,48.49,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01-05-2019,26.2,10.4,19,27,0,0,0,0,70,2.9,15.5,58.28,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01-06-2019,27.1,11.1,17.7,26.6,0,0,0,1.8,63.33,3.1,0,66.5,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01-07-2019,26.1,11.2,19.3,26.6,0,0,0,1.8,63.33,3.1,0,63.11,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01-08-2019,25.4,13.1,19.6,26.6,0,0,0,5.4,215,2.2,2.3,54.24,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01-09-2019,25.1,10.4,18.7,26.6,0,0,0,1,90,2.3,2.5,60.12,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01-10-2019,25.2,10.4,18.9,26.6,0,0,0,1.8,116,3.2,0,55.92,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01-11-2019,25.4,10.9,19.1,26.6,0,0,0,2,136.67,2.9,0,56.2,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01-12-2019,26.7,11.2,20.5,26.6,0,0,0,1,190,2.3,0,55.27,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/13/2019,27.4,12.9,19.5,26.9,0,0,0,1.8,180.5,1.9,0,65.61,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/14/2019,27.2,14.4,21.2,27,0,0,0,1.8,82.5,2.2,6.1,64.93,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/15/2019,26.1,13.7,20,27,0,0,0,1,90,3,0,53.97,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/16/2019,26.1,9.2,18.8,27,0,0,0,5.4,147.5,3.1,0,51.93,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/17/2019,27.1,9.4,19.6,26.3,0,0,0,3.6,174,3.9,0,50.76,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/18/2019,27.7,11.1,20.4,26.6,0,0,0,1.8,50,4.1,0,52.04,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/19/2019,27.4,10.9,20.2,26.4,0,0,0,1.8,50,3.9,0,50.68,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/20/2019,28.7,10.4,19.2,27.2,0,0,0,5.4,123.33,3.4,0,52.39,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/21/2019,29.9,11.2,21.5,28.3,0,0,0,1,90,4,0,48.17,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/22/2019,30.2,12.4,23.6,28.9,0,0,0,3.6,206.67,4.2,0,49.2,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/23/2019,29.2,13.7,22.7,28.2,0,0,0,7.6,147.25,3.6,0,54.37,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/24/2019,29.4,14.7,23,28.1,0,0,0,3.6,174,3.5,0,51.83,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",01/25/2019,27.1,14.7,22.1,26.7,0,0,0,1,90,3.3,63.2,56.55,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",01/26/2019,19.9,15.4,17.2,26.7,8.6,0,0,3.6,55,1.9,97.7,86.94,"Rain, Overcast"
"Rajgangpur, Rajagangapur(P), Odisha, India",01/27/2019,23.4,15.1,18.4,26.7,0,0,0,3.6,76.67,2,91,76.97,Overcast
