Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Conditions
"Rajgangpur, Rajagangapur(P), Odisha, India",10-01-2019,32.1,24.7,28.4,39.3,0,0,0,9.4,207.5,4.4,68.6,79.28,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",10-02-2019,32.1,25.2,28.4,39.3,2,0,0,9.4,175.33,4.1,78.4,79.38,"Rain, Overcast"
"Rajgangpur, Rajagangapur(P), Odisha, India",10-03-2019,32.1,24.1,28.6,36.9,0,0,0,9.4,207.89,4.9,46.8,73.21,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",10-04-2019,31.1,25.1,27.9,37.9,14,0,0,3.6,115,3.5,62.6,80.33,"Rain, Partially cloudy"
"Rajgangpur, Rajagangapur(P), Odisha, India",10-05-2019,32.2,25.3,29,39.3,10,0,0,1,90,4.1,37.3,75.02,"Rain, Partially cloudy"
"Rajgangpur, Rajagangapur(P), Odisha, India",10-06-2019,32.1,23.7,26.9,38.3,5,0,0,5.4,76.67,3.5,63.5,80.29,"Rain, Partially cloudy"
"Rajgangpur, Rajagangapur(P), Odisha, India",10-07-2019,31.1,23.7,25.9,36.7,12.79,0,0,7.6,93.33,3.5,84.3,85.47,"Rain, Overcast"
"Rajgangpur, Rajagangapur(P), Odisha, India",10-08-2019,30.2,23.1,26,35.5,18,0,0,14.8,78.33,3.2,93.3,83.54,"Rain, Overcast"
"Rajgangpur, Rajagangapur(P), Odisha, India",10-09-2019,31.1,23.1,27.3,35.6,4,0,0,1,90,4.1,59.4,78.63,"Rain, Partially cloudy"
"Rajgangpur, Rajagangapur(P), Odisha, India",10-10-2019,31.2,23.7,28.2,36.7,4,0,0,3.6,66,4.6,36.7,72.7,"Rain, Partially cloudy"
"Rajgangpur, Rajagangapur(P), Odisha, India",10-11-2019,30.2,24.4,27.8,35.2,2,0,0,3.6,70,4.4,57,77.05,"Rain, Partially cloudy"
"Rajgangpur, Rajagangapur(P), Odisha, India",10-12-2019,31.1,24.1,26.1,35.6,16,0,0,14.8,96,3.8,66.7,83.4,"Rain, Partially cloudy"
"Rajgangpur, Rajagangapur(P), Odisha, India",10/13/2019,32.1,23.2,27.8,36.9,0,0,0,3.6,60,4.4,36.3,72.04,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",10/14/2019,32.1,22.2,27.7,33.8,0,0,0,1,90,4.6,10.5,67.09,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",10/15/2019,31.2,22.2,27.9,33.8,0,0,0,3.6,136,4.3,44.8,66.53,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",10/16/2019,31.4,22.7,27.7,34.3,0,0,0,3.6,97.43,3.7,40.1,71.17,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",10/17/2019,31.2,22.7,28.3,35.6,0,0,0,3.6,55.71,3,44.1,72.67,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",10/18/2019,31.1,24.4,26.9,35.6,2.34,0,0,11.2,66,3.9,67.9,79.46,"Rain, Partially cloudy"
"Rajgangpur, Rajagangapur(P), Odisha, India",10/19/2019,31.2,23.4,28.2,36.4,0,0,0,3.6,106.4,4.4,50.5,73.18,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",10/20/2019,31.1,24.1,27.9,36,9,0,0,7.6,63.33,3.7,68.9,76.03,"Rain, Partially cloudy"
"Rajgangpur, Rajagangapur(P), Odisha, India",10/21/2019,31.1,23.3,27.2,35.6,32,0,0,3.6,116.4,4,66.9,79.32,"Rain, Partially cloudy"
"Rajgangpur, Rajagangapur(P), Odisha, India",10/22/2019,31.1,24.1,28,35.2,0,0,0,1.8,53.67,4.2,59.3,75.28,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",10/23/2019,29.2,23.7,25.8,33.1,2.66,0,0,9.4,57.64,3.6,94.4,85.35,"Rain, Overcast"
"Rajgangpur, Rajagangapur(P), Odisha, India",10/24/2019,24.5,21.7,22.8,31,42,0,0,5.4,52.75,3,99.4,92.75,"Rain, Overcast"
"Rajgangpur, Rajagangapur(P), Odisha, India",10/25/2019,24,20.2,22,31,29,0,0,5.4,50,4.2,96.6,88.35,"Rain, Overcast"
"Rajgangpur, Rajagangapur(P), Odisha, India",10/26/2019,27.1,20.1,23.9,28.9,0,0,0,1.8,147.43,4.6,86.4,81.64,Overcast
"Rajgangpur, Rajagangapur(P), Odisha, India",10/27/2019,30.1,22.7,26.8,33.8,0,0,0,3.6,63.33,4.9,50.2,75.1,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",10/28/2019,30.2,22.2,27.2,34.3,0,0,0,1.8,62.4,4.3,29,74.1,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",10/29/2019,31.2,22.9,27.7,36,0,0,0,3.6,82,3.9,27.3,73.75,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",10/30/2019,31.4,23.2,27.4,35.6,0,0,0,1.8,182.5,3.3,17.5,73.81,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",10/31/2019,31.9,20.2,27.2,33.1,0,0,0,3.6,70,2.9,1.8,67.46,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",11-01-2019,31.1,22.2,26.7,34.7,0,0,0,5.4,66,2.2,35.3,72.53,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",11-02-2019,31.4,21.1,26.6,33.1,0,0,0,1,90,2.6,16.6,64.51,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",11-03-2019,31.1,20.9,26.4,32.5,0,0,0,1.8,140,2.6,27.3,69.21,Partially cloudy
"Rajgangpur, Rajagangapur(P), Odisha, India",11-04-2019,31.7,22.1,26.9,33.8,0,0,0,1,90,2.2,0,71.38,Clear
"Rajgangpur, Rajagangapur(P), Odisha, India",11-05-2019,31.4,21.9,26.9,33.3,0,0,0,1.8,63.33,2.2,18.2,67.82,Clear
